Wall time,Step,Value
1636804356.0779772,234500,12877.2001953125
1636804356.8162181,235000,12877.2001953125
1636804358.320924,236000,12877.2001953125
1636804359.8059113,237000,12877.2001953125
1636804360.558353,237500,12877.2001953125
1636804363.5646644,239500,12877.2001953125
1636804368.8285048,243000,12877.2001953125
1636804371.0581975,244500,12877.2001953125
1636804371.7937443,245000,12877.2001953125
1636804373.2745757,246000,12877.2001953125
1636804374.7430189,247000,12877.2001953125
1636804376.9704306,248500,12877.2001953125
1636804385.1909735,254000,12877.2001953125
1636804387.4547198,255500,12877.2001953125
1636804388.203961,256000,12877.2001953125
1636804388.9422987,256500,12877.2001953125
1636804390.4175107,257500,12877.2001953125
1636804391.8951385,258500,12877.2001953125
1636804392.6532006,259000,12877.2001953125
1636804394.1287835,260000,12877.2001953125
1636804397.8917484,262500,12877.2001953125
1636804398.636253,263000,12877.2001953125
1636804403.1741977,266000,12877.2001953125
1636804404.667641,267000,12877.2001953125
1636804405.408822,267500,12877.2001953125
1636804406.1598747,268000,12877.2001953125
1636804406.9181066,268500,12877.2001953125
1636804407.6777909,269000,12877.2001953125
1636804408.4310138,269500,12877.2001953125
1636804409.172015,270000,12877.2001953125
1636804409.9139583,270500,12877.2001953125
1636804410.668527,271000,12877.2001953125
1636804411.400006,271500,12877.2001953125
1636804412.924942,272500,12877.2001953125
1636804415.1420293,274000,12877.2001953125
1636804415.8758256,274500,12877.2001953125
1636804416.6157424,275000,12877.2001953125
1636804418.1465802,276000,12877.2001953125
1636804421.1169908,278000,12877.2001953125
1636804422.6129408,279000,12877.2001953125
1636804424.1209009,280000,12877.2001953125
1636804427.1091986,282000,12877.2001953125
1636804427.867403,282500,12877.2001953125
1636804428.603036,283000,12877.2001953125
1636804430.0907483,284000,12877.2001953125
1636804431.5826952,285000,12877.2001953125
1636804433.100834,286000,12877.2001953125
1636804434.5869074,287000,12877.2001953125
1636804435.3373184,287500,12877.2001953125
1636804437.5774078,289000,12877.2001953125
1636804439.0943387,290000,12877.2001953125
1636804439.855303,290500,12877.2001953125
1636804440.635944,291000,12877.2001953125
1636804441.3920557,291500,12877.2001953125
1636804442.1409228,292000,12877.2001953125
1636804442.8799736,292500,12877.2001953125
1636804444.3761444,293500,12877.2001953125
1636804445.1265898,294000,12877.2001953125
1636804448.8986397,296500,12877.2001953125
1636804449.6351235,297000,12877.2001953125
1636804451.1004927,298000,12877.2001953125
1636804451.8349326,298500,12877.2001953125
1636804452.5706885,299000,12877.2001953125
1636804454.8244417,300500,12877.2001953125
1636804456.3051429,301500,12877.2001953125
1636804457.793975,302500,12877.2001953125
1636804459.2769237,303500,12877.2001953125
1636804460.7656128,304500,12877.2001953125
1636804462.2767289,305500,12877.2001953125
1636804463.0132964,306000,12877.2001953125
1636804463.7748387,306500,12877.2001953125
1636804465.9740076,308000,12877.2001953125
1636804468.9475577,310000,12877.2001953125
1636804469.679367,310500,12877.2001953125
1636804471.2044039,311500,12877.2001953125
1636804471.9384534,312000,12877.2001953125
1636804473.4430466,313000,12877.2001953125
1636804476.406945,315000,12877.2001953125
1636804480.1138577,317500,12877.2001953125
1636804485.3870797,321000,12877.2001953125
1636804486.1431246,321500,12877.2001953125
1636804487.6334462,322500,12877.2001953125
1636804488.3739798,323000,12877.2001953125
1636804489.1183612,323500,12877.2001953125
1636804489.8531694,324000,12877.2001953125
1636804490.600531,324500,12877.2001953125
1636804491.3348696,325000,12877.2001953125
1636804492.7962582,326000,12877.2001953125
1636804493.542795,326500,12877.2001953125
1636804496.462781,328500,12877.2001953125
1636804497.2141912,329000,12877.2001953125
1636804498.7231486,330000,12877.2001953125
1636804500.2337615,331000,12877.2001953125
1636804502.5507107,332500,12877.2001953125
1636804504.0680163,333500,12877.2001953125
1636804504.8005512,334000,12877.2001953125
1636804505.5398645,334500,12877.2001953125
1636804507.7712104,336000,12877.2001953125
1636804508.5151153,336500,12877.2001953125
1636804509.275432,337000,12877.2001953125
1636804510.0141702,337500,12877.2001953125
1636804510.767247,338000,12877.2001953125
1636804512.279764,339000,12877.2001953125
1636804513.038311,339500,12877.2001953125
1636804513.7918746,340000,12877.2001953125
1636804515.305256,341000,12877.2001953125
1636804516.0481105,341500,12877.2001953125
1636804516.808648,342000,12877.2001953125
1636804517.5507743,342500,12877.2001953125
1636804518.2968407,343000,12877.2001953125
1636804519.046674,343500,12877.2001953125
1636804520.5449023,344500,12877.2001953125
1636804521.2909782,345000,12877.2001953125
1636804523.5706947,346500,12877.2001953125
1636804526.547912,348500,12877.2001953125
1636804528.8029444,350000,12877.2001953125
1636804529.5437927,350500,12877.2001953125
1636804530.2965178,351000,12877.2001953125
1636804531.7833219,352000,12877.2001953125
1636804532.5347867,352500,12877.2001953125
1636804533.3039434,353000,12877.2001953125
1636804534.0448143,353500,12877.2001953125
1636804535.5219164,354500,12877.2001953125
1636804536.2844322,355000,12877.2001953125
1636804537.0256743,355500,12877.2001953125
1636804540.002834,357500,12877.2001953125
1636804543.016498,359500,12877.2001953125
1636804543.7871282,360000,12877.2001953125
1636804545.2811074,361000,12877.2001953125
1636804546.0531254,361500,12877.2001953125
1636804546.7818096,362000,12877.2001953125
1636804547.543335,362500,12877.2001953125
1636804548.2724595,363000,12877.2001953125
1636804549.0368214,363500,12877.2001953125
1636804551.279214,365000,12877.2001953125
1636804552.0570097,365500,12877.2001953125
1636804556.5774257,368500,12877.2001953125
1636804558.0647478,369500,12877.2001953125
1636804558.8099608,370000,12877.2001953125
