Wall time,Step,Value
1636803188.1155956,254673,10208.04296875
1636803188.5986624,255098,10199.9697265625
1636803189.5307076,255949,10198.125
1636803189.999495,256371,10191.2314453125
1636803190.4550567,256795,10187.7841796875
1636803192.7770374,258898,10178.6943359375
1636803193.256974,259321,10179.6484375
1636803193.7235453,259742,10178.703125
1636803194.6495152,260585,10181.484375
1636803196.5144553,262275,10182.4921875
1636803197.4797266,263119,10182.7080078125
1636803198.4247038,263967,10188.9453125
1636803200.3497996,265659,10177.1728515625
1636803200.850073,266081,10171.2333984375
1636803201.3011773,266500,10178.216796875
1636803203.1856213,268186,10212.822265625
1636803205.008223,269877,10233.9716796875
1636803205.5044422,270298,10241.37890625
1636803206.8826811,271561,10238.0576171875
1636803207.8578656,272407,10223.361328125
1636803208.3054535,272831,10232.216796875
1636803208.7594674,273254,10228.6259765625
1636803209.216497,273676,10245.150390625
1636803209.683368,274096,10241.109375
1636803210.1590958,274515,10239.4619140625
1636803211.096013,275363,10245.671875
1636803211.5557747,275784,10259.658203125
1636803213.9383423,277895,10233.873046875
1636803214.3932984,278318,10222.3984375
1636803215.8161938,279591,10217.529296875
1636803216.292647,280012,10213.046875
1636803217.7132826,281281,10233.234375
1636803218.6209393,282125,10223.46875
1636803220.4947512,283816,10220.89453125
1636803221.441966,284662,10218.0244140625
1636803222.3511593,285512,10222.478515625
1636803223.3113453,286355,10208.736328125
1636803224.8169756,287618,10218.8427734375
1636803226.697368,289303,10235.015625
1636803227.1733425,289724,10224.2880859375
1636803228.1300714,290569,10212.453125
1636803229.5373373,291830,10196.5048828125
1636803231.4264815,293516,10188.44140625
1636803233.7898922,295618,10227.1142578125
1636803237.080875,298573,10207.9345703125
1636803237.5491204,298996,10200.8515625
1636803238.4770236,299842,10194.2548828125
1636803238.9287822,300264,10213.416015625
1636803239.3992088,300686,10205.6494140625
1636803239.865337,301106,10194.453125
1636803240.3403533,301527,10195.2177734375
1636803240.8090568,301950,10189.6015625
1636803242.235326,303217,10206.26953125
1636803244.1894302,304907,10200.2490234375
1636803244.6907067,305329,10195.4970703125
1636803246.683736,307016,10191.6181640625
1636803248.1477175,308278,10199.5380859375
1636803249.129472,309122,10212.560546875
1636803249.5859454,309545,10215.7646484375
1636803250.0886369,309967,10213.5869140625
1636803251.5307162,311236,10195.0654296875
1636803251.9978557,311655,10218.0146484375
1636803252.5186148,312078,10203.732421875
1636803252.985609,312504,10198.71875
1636803253.5110676,312926,10200.90625
1636803254.510461,313766,10211.00390625
1636803255.0047214,314190,10208.9970703125
1636803255.520292,314613,10195.0830078125
1636803256.512672,315457,10184.53515625
1636803256.9766204,315879,10200.509765625
1636803257.4851265,316301,10207.8896484375
1636803257.973085,316721,10183.4365234375
1636803258.5769718,317144,10174.1669921875
1636803259.0666592,317564,10161.8818359375
1636803259.9682972,318408,10156.7880859375
1636803260.4395635,318830,10171.0615234375
1636803263.7051013,321786,10199.060546875
1636803265.1732354,323054,10206.3779296875
1636803265.6366835,323475,10197.3603515625
1636803266.113564,323901,10194.7412109375
1636803267.057835,324742,10187.423828125
1636803268.4247026,326011,10182.6630859375
1636803269.3498757,326859,10166.2919921875
1636803270.26417,327708,10200.392578125
1636803272.1288013,329398,10180.7099609375
1636803274.0412347,331087,10189.7373046875
1636803274.506318,331513,10191.1318359375
1636803275.4462008,332355,10204.28125
1636803275.9027424,332779,10209.537109375
1636803276.3785274,333201,10204.875
1636803276.8529346,333621,10209.3115234375
1636803277.336263,334043,10207.65625
1636803279.7121642,336158,10211.65234375
1636803282.6105978,338690,10209.05078125
1636803283.577125,339538,10190.232421875
1636803284.0741057,339961,10200.509765625
1636803284.536891,340379,10186.146484375
1636803285.0043695,340804,10183.310546875
1636803285.963895,341652,10163.7265625
1636803287.3466506,342919,10149.5791015625
1636803287.8077753,343340,10144.4853515625
1636803289.2964487,344611,10152.5849609375
1636803289.7888947,345035,10165.52734375
1636803290.3213253,345456,10152.224609375
1636803291.2535691,346295,10154.0966796875
1636803292.1787806,347139,10146.64453125
1636803294.9874115,349662,10163.4296875
1636803296.3819368,350929,10167.8310546875
1636803296.8604455,351354,10176.498046875
1636803298.2550192,352620,10181.1962890625
1636803298.726202,353043,10178.49609375
1636803299.1947377,353465,10175.18359375
1636803300.1539333,354310,10170.189453125
1636803300.615318,354731,10181.57421875
1636803301.0717216,355156,10181.9521484375
1636803303.408872,357263,10176.201171875
1636803305.2911806,358947,10208.916015625
1636803305.7683275,359367,10215.8642578125
1636803306.6919878,360207,10199.6552734375
1636803307.602823,361048,10189.51171875
1636803308.5432792,361893,10184.7685546875
1636803309.0280373,362317,10190.4208984375
1636803309.5045555,362738,10192.220703125
1636803309.9779165,363163,10211.580078125
1636803310.4456952,363584,10209.10546875
1636803310.9537468,364006,10216.2060546875
1636803311.9279506,364851,10199.9609375
1636803312.8584406,365696,10178.765625
1636803313.804894,366540,10176.7138671875
1636803315.2664897,367813,10185.1474609375
1636803316.2296827,368660,10179.91796875
1636803316.764836,369082,10179.4501953125
1636803317.219504,369502,10179.017578125
1636803319.0908759,371186,10192.0947265625
1636803320.0316875,372029,10206.0
1636803320.4850957,372446,10198.8447265625
1636803321.4113002,373283,10197.9716796875
1636803322.8309033,374547,10167.470703125
1636803324.7283466,376234,10205.0458984375
1636803326.1793528,377506,10204.650390625
1636803327.5870771,378778,10182.16796875
1636803328.0616229,379198,10166.4453125
1636803328.975758,380036,10154.8798828125
1636803329.9606898,380882,10152.396484375
1636803330.8877263,381731,10165.931640625
1636803333.268686,383835,10165.3740234375
1636803334.2373126,384680,10169.9462890625
1636803334.6936932,385100,10161.5224609375
1636803335.1935124,385522,10157.0400390625
1636803335.6703753,385944,10153.125
1636803337.138909,387211,10154.0703125
1636803339.921736,389739,10166.7958984375
1636803340.8442152,390578,10180.359375
1636803341.3017175,390996,10186.9111328125
1636803341.7565858,391416,10189.5751953125
1636803342.678361,392265,10170.576171875
1636803344.6009426,393963,10186.388671875
1636803345.5756779,394809,10186.2265625
1636803346.0508611,395228,10185.525390625
1636803347.9040906,396910,10194.83984375
1636803348.3675663,397333,10189.673828125
1636803348.8429575,397755,10190.2138671875
1636803349.3161187,398177,10199.22265625
1636803350.756779,399437,10182.9599609375
1636803351.2348123,399861,10201.6982421875
1636803351.6956599,400286,10193.462890625
1636803352.6693063,401127,10170.32421875
1636803354.0847988,402392,10177.7041015625
1636803355.0164928,403234,10166.8681640625
1636803355.4899979,403651,10158.615234375
1636803356.4580326,404497,10141.1103515625
1636803356.9246044,404921,10126.556640625
1636803358.3080976,406183,10147.9228515625
1636803359.758814,407453,10141.8662109375
1636803360.2492578,407876,10142.8017578125
1636803363.557235,410834,10121.8232421875
1636803364.0236096,411256,10116.693359375
1636803364.4889832,411685,10123.1552734375
1636803364.9517984,412106,10111.2568359375
1636803365.4305477,412530,10115.0546875
1636803365.9006543,412956,10116.1259765625
1636803366.3507094,413376,10117.8896484375
1636803367.2682538,414216,10121.4091796875
1636803367.7269256,414637,10123.740234375
1636803368.183005,415059,10126.4404296875
1636803369.6714954,416327,10148.1123046875
1636803370.1348274,416748,10146.212890625
1636803370.6014454,417171,10152.53125
1636803371.0792818,417593,10163.0341796875
1636803371.9996083,418436,10151.9013671875
1636803374.788534,420969,10155.564453125
1636803375.3135793,421393,10160.7568359375
1636803376.7127335,422659,10190.8623046875
1636803380.0282829,425610,10202.921875
1636803381.4572723,426878,10206.4501953125
1636803384.7642899,429830,10234.583984375
1636803385.2385447,430250,10233.6123046875
1636803385.7712185,430670,10233.91796875
1636803386.7157762,431517,10244.115234375
1636803387.1933818,431938,10240.9736328125
1636803387.6580384,432361,10221.5517578125
1636803389.0344133,433622,10205.0458984375
1636803389.4961374,434045,10196.982421875
1636803390.413852,434887,10216.1611328125
1636803391.3541107,435734,10229.9755859375
1636803391.8123744,436153,10225.0166015625
1636803393.6797633,437839,10213.2001953125
1636803394.1496947,438261,10212.3447265625
1636803396.0393858,439947,10203.6513671875
1636803396.4924202,440368,10192.52734375
1636803396.9593241,440792,10200.40234375
1636803397.4379747,441211,10199.916015625
1636803398.8363485,442471,10198.349609375
1636803399.2876608,442892,10202.1123046875
1636803399.7520392,443314,10211.3642578125
1636803401.1334503,444576,10216.71875
1636803401.5887082,444997,10204.8837890625
1636803405.3177652,448382,10200.2763671875
1636803406.7065525,449651,10206.341796875
1636803407.1982963,450071,10210.068359375
1636803408.1241775,450910,10207.2685546875
1636803409.0449324,451759,10211.1298828125
1636803409.4990544,452179,10203.54296875
1636803410.9170234,453446,10209.744140625
1636803411.3907187,453868,10200.3837890625
1636803412.344724,454714,10192.3828125
1636803412.794366,455134,10205.0009765625
1636803413.2593384,455554,10210.6171875
1636803413.7530644,455976,10202.373046875
1636803415.1536193,457241,10187.126953125
1636803418.9732096,460619,10189.4404296875
1636803419.9164946,461461,10184.490234375
1636803420.8741002,462305,10188.576171875
1636803421.8076,463154,10196.5947265625
1636803422.330586,463573,10197.6572265625
1636803422.8300734,463997,10187.7119140625
1636803423.785596,464840,10188.5849609375
1636803424.7202454,465679,10174.41015625
1636803425.2062063,466104,10165.2119140625
1636803425.6729488,466525,10176.4443359375
1636803427.036854,467787,10189.8359375
1636803427.9711268,468625,10188.134765625
1636803431.2548454,471569,10158.677734375
1636803431.732612,471988,10160.423828125
1636803433.1385992,473253,10149.83984375
1636803434.0636973,474100,10146.7802734375
1636803436.8630528,476632,10151.837890625
1636803437.3231115,477054,10135.6923828125
1636803438.2927897,477898,10146.0693359375
1636803439.2394705,478743,10154.27734375
1636803441.1349502,480434,10172.3486328125
1636803442.145748,481276,10149.615234375
1636803443.0655837,482115,10155.0244140625
1636803444.016411,482955,10146.564453125
1636803444.9525297,483797,10147.0322265625
1636803446.375192,485061,10154.888671875
1636803446.8419313,485483,10157.4716796875
1636803447.3195095,485903,10170.3603515625
1636803447.7884316,486325,10160.8916015625
1636803450.6097665,488851,10158.8671875
1636803451.0957155,489274,10150.830078125
1636803453.9128158,491814,10182.509765625
1636803454.8667793,492658,10188.7109375
1636803455.787835,493505,10193.94921875
1636803456.2587113,493924,10182.90625
1636803456.7108805,494345,10180.169921875
1636803460.911618,498137,10178.9638671875
1636803461.8572435,498983,10188.3603515625
1636803463.2864084,500252,10189.3857421875
1636803465.1182022,501937,10168.6318359375
1636803466.0510054,502782,10154.9697265625
1636803466.5126343,503205,10156.103515625
1636803466.957171,503626,10151.0732421875
1636803468.4320729,504888,10179.3056640625
1636803468.8792067,505306,10182.150390625
1636803469.8100448,506147,10178.7568359375
1636803470.2749708,506570,10186.119140625
1636803470.7406096,506994,10202.345703125
1636803472.1575806,508259,10176.83984375
1636803472.6456602,508683,10182.28515625
1636803477.293015,512898,10191.7080078125
1636803478.2782779,513741,10204.8388671875
1636803478.7481806,514161,10211.0400390625
1636803480.189872,515430,10211.7509765625
1636803480.6626081,515854,10212.5341796875
1636803481.110913,516271,10225.1787109375
1636803482.5191054,517540,10221.6328125
1636803482.994047,517963,10237.0771484375
1636803483.4388204,518384,10244.69140625
1636803490.4511628,524709,10188.44140625
1636803491.8632302,525977,10172.232421875
1636803492.8188462,526825,10189.349609375
1636803493.3337111,527247,10187.2890625
1636803494.3169184,528090,10181.826171875
1636803494.778506,528512,10179.296875
1636803496.2273471,529776,10189.1337890625
1636803497.6235442,531039,10202.2470703125
1636803498.0921574,531461,10198.39453125
1636803498.5390925,531881,10195.298828125
1636803499.0387044,532307,10203.3359375
1636803499.9724605,533152,10214.6494140625
1636803500.907336,533996,10210.4013671875
1636803501.8155558,534842,10206.8095703125
1636803502.790497,535684,10228.6533203125
1636803503.2767794,536107,10221.525390625
1636803504.2390099,536951,10221.3271484375
1636803505.1776567,537798,10194.884765625
1636803506.1188638,538637,10191.509765625
1636803506.5738087,539061,10177.802734375
1636803507.0504444,539484,10173.833984375
1636803507.5026937,539907,10172.2138671875
1636803507.9696167,540330,10175.787109375
1636803512.6779604,544558,10122.498046875
1636803513.1767278,544983,10134.59375
1636803514.5763092,546250,10118.1689453125
1636803516.4072046,547942,10108.4130859375
1636803516.8830674,548363,10105.37109375
1636803517.3402722,548783,10091.1416015625
1636803518.2632067,549625,10103.03125
1636803519.669959,550885,10097.5498046875
1636803521.0612285,552154,10115.67578125
1636803521.9729118,553001,10119.8974609375
1636803522.9459376,553850,10128.716796875
1636803523.4218373,554271,10132.34375
1636803524.36737,555117,10124.009765625
1636803526.2595947,556806,10138.9765625
1636803526.7020268,557227,10138.3017578125
1636803527.165242,557648,10144.853515625
1636803528.0754073,558492,10142.810546875
1636803528.5320923,558912,10152.44140625
1636803529.9051104,560181,10151.2353515625
1636803530.3777256,560602,10162.3046875
1636803530.8662584,561022,10171.3681640625
1636803531.3530078,561441,10174.0771484375
1636803531.8217611,561862,10180.2685546875
1636803532.2920058,562285,10189.818359375
1636803534.5907853,564393,10184.5078125
1636803535.0688176,564817,10181.3134765625
1636803536.027719,565665,10202.759765625
1636803537.9119968,567362,10194.0029296875
1636803538.3835614,567781,10186.298828125
1636803539.3167753,568624,10177.6591796875
1636803541.2031648,570316,10181.4296875
1636803542.134535,571160,10181.1689453125
1636803544.0246682,572845,10182.5185546875
1636803544.4925494,573267,10183.013671875
1636803544.9610455,573691,10180.080078125
1636803545.4205573,574113,10183.5810546875
1636803546.3680348,574956,10180.259765625
1636803547.8155465,576226,10159.1279296875
1636803548.2808707,576650,10159.4248046875
1636803549.2334623,577492,10157.787109375
1636803549.6927028,577912,10146.9873046875
1636803550.158648,578337,10159.78515625
1636803552.9761183,580862,10167.587890625
1636803553.9248023,581701,10150.1552734375
1636803554.3866303,582125,10145.1513671875
1636803555.3070996,582972,10159.60546875
1636803555.77975,583394,10151.037109375
1636803557.2242148,584661,10133.9189453125
1636803557.6823547,585082,10139.373046875
1636803560.0050004,587190,10127.232421875
1636803560.4812818,587610,10133.541015625
1636803560.951805,588031,10137.1142578125
1636803562.3546562,589301,10171.6923828125
1636803563.2897096,590146,10175.390625
1636803563.7644682,590566,10170.7197265625
1636803564.24137,590989,10170.935546875
1636803564.6747115,591408,10169.513671875
1636803565.1481657,591831,10170.85546875
1636803565.594562,592250,10173.671875
1636803567.103762,593514,10154.93359375
1636803568.4882615,594786,10182.0146484375
1636803569.418233,595629,10179.0986328125
1636803570.8242278,596894,10204.66796875
1636803571.2879908,597316,10200.6904296875
1636803571.7702708,597738,10215.8642578125
1636803572.2269745,598158,10229.669921875
1636803574.211001,599844,10215.3330078125
1636803576.0927072,601528,10208.1064453125
1636803577.050321,602378,10224.548828125
1636803577.5051095,602803,10229.076171875
1636803579.4050813,604487,10208.232421875
1636803581.2627332,606171,10207.5478515625
1636803584.5751495,609121,10167.1201171875
1636803585.0349052,609545,10163.8349609375
1636803585.5330355,609966,10163.51953125
1636803586.9625826,611235,10165.482421875
1636803587.9080868,612079,10154.1689453125
1636803588.4036071,612502,10149.587890625
1636803589.3181515,613346,10148.6611328125
1636803589.7570128,613768,10140.318359375
1636803590.238322,614187,10155.9423828125
1636803591.152947,615031,10175.5439453125
1636803591.6306262,615454,10180.7734375
1636803592.9795303,616720,10186.90234375
1636803600.9591315,623899,10219.265625
1636803601.4046528,624319,10231.640625
1636803601.8615904,624741,10230.6328125
1636803602.326711,625161,10215.5576171875
1636803604.241284,626851,10196.79296875
1636803605.6284556,628122,10163.8173828125
1636803606.0960906,628544,10170.9814453125
1636803607.4848742,629815,10164.76171875
1636803607.9579632,630239,10165.1220703125
1636803608.4306865,630658,10169.126953125
1636803610.328975,632353,10193.6787109375
1636803610.7864232,632774,10188.5673828125
1636803611.2631214,633193,10183.220703125
1636803612.2568417,634037,10182.654296875
1636803612.7270944,634458,10172.3134765625
1636803613.1925223,634882,10177.55078125
1636803614.1325479,635726,10179.3505859375
1636803615.0538857,636565,10183.796875
1636803617.8709626,639097,10211.0576171875
1636803618.8157582,639945,10201.0947265625
1636803621.143466,642052,10191.078125
1636803621.6097786,642472,10188.935546875
1636803625.8128154,646280,10185.9208984375
1636803626.271983,646704,10189.169921875
1636803631.448241,651349,10179.279296875
1636803633.3364394,653021,10231.3623046875
1636803633.7860663,653439,10236.28515625
1636803635.1737251,654696,10225.6826171875
1636803635.6517172,655122,10215.3603515625
1636803637.0702531,656379,10216.6923828125
1636803637.9881866,657218,10220.9755859375
1636803638.4515662,657636,10239.1474609375
1636803638.9256942,658055,10249.2900390625
1636803642.2528546,661010,10211.642578125
1636803642.7130835,661433,10209.2578125
1636803643.1861873,661856,10207.6474609375
1636803643.65548,662277,10203.8486328125
1636803644.6511633,663118,10188.5849609375
1636803645.1635633,663541,10170.32421875
1636803646.140214,664380,10155.923828125
1636803646.604045,664801,10162.7373046875
1636803647.071226,665221,10170.4677734375
1636803647.5358627,665645,10189.5751953125
1636803649.872335,667755,10195.2900390625
1636803650.8059113,668596,10174.0771484375
1636803653.1399286,670709,10214.603515625
1636803653.5953279,671130,10211.12109375
1636803654.0609646,671548,10230.705078125
1636803654.9815223,672391,10237.0498046875
1636803658.1802225,675337,10245.16796875
1636803659.0902836,676177,10247.7060546875
1636803661.435727,678278,10279.21484375
1636803663.7376466,680375,10252.359375
1636803664.6602552,681219,10246.6171875
1636803665.1310713,681642,10260.0
1636803666.0732489,682490,10255.689453125
1636803666.5238876,682899,10248.3447265625
1636803667.4048762,683741,10240.298828125
1636803667.8739834,684165,10238.283203125
1636803670.6846871,686693,10228.3916015625
1636803671.1639493,687114,10220.904296875
1636803673.974672,689646,10158.939453125
1636803674.4437091,690072,10174.3916015625
1636803678.6279259,693854,10136.1240234375
1636803679.1045768,694274,10147.0947265625
1636803680.5280669,695533,10155.185546875
1636803681.4885333,696372,10194.498046875
1636803683.370859,698052,10219.6982421875
1636803686.1858747,700571,10249.1552734375
1636803687.1635625,701415,10274.490234375
1636803687.6297212,701835,10274.1025390625
1636803688.4920244,702621,10202.5166015625
1636803689.9204822,703889,10224.32421875
